Left context;Center;Right context;Publ_year;Sphere;Type;Medium;Full context
 Дама попалась из бойких, щебетала ; без умолку ; сначала на дачные темы ;2011 ;художественная проза ;повесть ;книга ; Дама попалась из бойких, щебетала без умолку сначала на дачные темы, затем на театральные, удивлялась, почему Катерина Ивановна не играет в Харбинском драматическом театре.  [Н. И. Ильина. Дороги и судьбы (1957-1985)] [омонимия не снята]
  Трещала ; без умолку ; и без разбора, но ;2004 ;художественная проза ;повесть ;книга ; Трещала без умолку и без разбора, но в этой куче новостей все же было зерно: она, Нина, не провисает в безвоздушном пространстве, а довольно прочно стоит на ногах и, что бы там ни было, не помрет с голоду, через местком путевки в санаторий добудет и, между прочим, ей удалось устроить Нюсю в ведомственный детский сад, хотя вот так, с улицы, там никакого не принимали  .  [Н. В. Кожевникова. Ловушка (1985)] [омонимия не снята]
" в рукав, теребили, тянули куда-то; "; без умолку ; тараторила, смеясь, расспрашивала его ;1985 ;художественная ;роман ;книга ;" Она улыбалась, открывая ровные глянцевитые зубы, и лакированные темные, как птичья кровь, ноготки ее впивались ему в рукав, теребили, тянули куда-то; без умолку тараторила, смеясь, расспрашивала его о чем-то, а он механически и, видимо, внешне осмысленно отвечал ей, почему-то стоял посреди коридора и, упираясь, как застенчивый дошколенок, никак не хотел пройти дальше.  [Еремей Парнов. Третий глаз Шивы (1985)] [омонимия не снята]"
 очень болтливым, этот Буба, трещал ; без умолку ; обо всем, высунувшись из ;1984 ;художественная ;роман ;книга ;  Он оказался очень болтливым, этот Буба, трещал без умолку обо всем, высунувшись из кармана моих штанов, словно из окна, и когда я ходил в магазин, то вынужден бывал затыкать ему рот кляпом, ибо я не хотел, чтобы односельчане узнали о моем уродстве и разнесли по всему свету молву о нем.  [Анатолий Ким. Белка (1984)] [омонимия не снята]
 Усмехался, зло молчал или трещал ; без умолку ;?  ;1984 ;художественная ;роман ;книга ; Усмехался, зло молчал или трещал без умолку?  [Виль Липатов. И это все о нем (1984)] [омонимия не снята]
 свойство у таких людей: говорить ; без умолку ; ни о чем.  ;1996 ;публицистика ,  нехудожественная ;дневник, записные книжки ;книга ; Поразительное свойство у таких людей: говорить без умолку ни о чем.  [Ю. М. Нагибин. Дневник  (1983)] [омонимия не снята]
 стянутая со всего полуострова и ; без умолку ; стучавшая над каменистым мысочком ;1982 ;художественная ;повесть ;книга ; Вражеская зенитка, стянутая со всего полуострова и без умолку стучавшая над каменистым мысочком, «мессеры», в одиночку и парами поднимавшиеся с херсонесского аэродрома ИЛам наперехват, чтобы прикрыть эвакуацию своих транспортов, наконец, издалека видные, густые, затруднявшие рассмотрение земли дымы подсказывали, что одна быстрая атака будет оправдана.  [Артем Анфиногенов. А внизу была земля (1982)] [омонимия не снята]
 еще не знаю, телефон звонит ; без умолку ;, даже 100 не успеваю ;1998 ;художественная ;рассказ ;книга ; Часы у меня все стоят, про 12.20 уже или еще не знаю, телефон звонит без умолку, даже 100 не успеваю набрать…  [Андрей Битов. Неистовый Роландо, или Как правильно смотреть телевизор (1982)] [омонимия не снята]
 На всех уроках новенькая трещала ; без умолку ;.  ;1982 ;художественная ;повесть ;книга ; На всех уроках новенькая трещала без умолку.  [Ирина Пивоварова. Тройка с минусом или происшествие в 5 «А» (1982)] [омонимия не снята]
 говорила о своем.  Они болтали ; без умолку ;.  А теперь, въехав в ;1981 ;художественная ;роман, отрывок ;журнал ; Жена говорила о своем.  Они болтали без умолку.  А теперь, въехав в Хайфу, притихли, и оказалось, что они так ни словом и не обмолвились о деле, из-за которого была затеяна вся эта поездка.  [Гассан Канафани (перевод). Возвращение в Хафу // «Огонек», 1981] [омонимия не снята]
   Люба Хикс говорила ; без умолку ;, перескакивая с предмета на ;1991 ;художественная ;роман ;книга ;  Люба Хикс говорила без умолку, перескакивая с предмета на предмет, вспоминая революцию и пикники в Юсуповском дворце, в Архангельском.  [Н. Н. Берберова. Железная женщина (1978-1980)] [омонимия не снята]
   Ленечка ; без умолку ; двигался, улыбался своим толстым ;1999 ;художественная ;рассказ ;книга ;  Ленечка без умолку двигался, улыбался своим толстым редкозубым ртом, так ослепительно не стесняясь, плакал от счастья видеть ее своими пустыми, как облачка в высоком небе, глазами, и, какую бы безразличную чушь он ни молол, он только признавался в любви, только еще раз, чуть иначе, рассказывал, как ради нее все, что ни происходит на земле, или, как все, что ни происходит, все ? о ней. [Андрей Битов. Лес (1960-1980)] [омонимия не снята]
  То она хохочет, тараторит ; без умолку ;, то, глядишь, задумалась, уже ;1980 ;художественная ;рассказ ;журнал ; То она хохочет, тараторит без умолку, то, глядишь, задумалась, уже и глаза покраснели.  [С. Макеев. Айболиты // «Работница», 1980] [омонимия не снята]
 так день начался ? Нюра болтала ; без умолку ;, благо слушатель ей попался ;2002 ;художественная ;рассказ ;книга ; Но сегодня ? уж так день начался ? Нюра болтала без умолку, благо слушатель ей попался отменный.  [Дина Рубина. День уборки (1980)] [омонимия не снята]
 шизофреническое недержание слов, он говорил ; без умолку ;, кричал, кипятился, пенился, и ;1987 ;художественная ;роман ;книга ; Могу притаранить…» У Маркуши было неисцелимое, шизофреническое недержание слов, он говорил без умолку, кричал, кипятился, пенился, и иногда, чтобы остановить, требовалось его слегка ударить.  [Ю. В. Трифонов. Время и место (1980)] [омонимия не снята]
   Пока ехали, Антон ; без умолку ; болтал о своей новой ;2008 ;художественная ;роман ;книга ;  Пока ехали, Антон без умолку болтал о своей новой идеологии, может быть, он решил за дорогу до аэропорта обратить и дедушку в свою веру.  [Василий Аксенов. Остров Крым (авторская редакция) (1977-1979)] [омонимия не снята]
 слышал Сашка, как говорил тот ; без умолку ;, похохатывал, рукой здоровой размахивал ;2004 ;художественная ;повесть ;книга ; Всю дорогу слышал Сашка, как говорил тот без умолку, похохатывал, рукой здоровой размахивал, словно чокнутый какой.  [Вячеслав Кондратьев. Сашка (1979)] [омонимия не снята]
 болтал бы очень интересно и ; без умолку ;.  ;1979 ;художественная ;рассказ ;книга ; Что именно он говорил бы, Виктор Петрович не представлял себе, но ему казалось, что он болтал бы очень интересно и без умолку.  [И. Меттер. Возвращение (1979)] [омонимия не снята]
  Папа Кальман говорил ; без умолку ; и этим не то ;1985 ;художественная ;повесть ;книга ; Папа Кальман говорил без умолку и этим не то чтобы скрасил, а смазал тягостные и патетические минуты расставания.  [Ю. М. Нагибин. Блестящая и горестная жизнь Имре Кальмана (1972-1979)] [омонимия не снята]
 и мало того, что балаболил ; без умолку ; — к концу обеда у ;1985 ;художественная ;рассказ ;книга ; Прежде ее соседом был Сашок, и мало того, что балаболил без умолку — к концу обеда у Верочки немело левое ухо, — но и неизменно залезал к ней в тарелку.  [Ю. М. Нагибин. Сирень (1972-1979)] [омонимия не снята]
 не просыхающие колдобины, Сергей Васильевич ; без умолку ; болтал с Татушей.  ;1985 ;художественная ;рассказ ;книга ;  Пока они тряслись разбитым большаком, объезжая по пыльным замученным травам сроду не просыхающие колдобины, Сергей Васильевич без умолку болтал с Татушей.  [Ю. М. Нагибин. Сирень (1972-1979)] [омонимия не снята]
 и онемел, а этот тараторил ; без умолку ;, то и дело взбегал ;1985 ;художественная ;рассказ ;книга ; При таком энтузиазме настоящий гид давно бы выдохся и онемел, а этот тараторил без умолку, то и дело взбегал на какие-то кручи летучим шагом сухих оленьих ног, что-то выглядывал с высоты и длинными скачками устремлялся вниз.  [Ю. М. Нагибин. Трое и одна и еще один (1972-1979)] [омонимия не снята]
 такой беседе, и мы говорим ; без умолку ;, пока наш конвоир не ;1990 ;публицистика ,  нехудожественная ;мемуары ;книга ; Он рад такой беседе, и мы говорим без умолку, пока наш конвоир не подытоживает задумчиво:  [Е. С. Гинзбург. Крутой маршрут: Часть 2 (1975-1977)] [омонимия не снята]
  И она ; без умолку ; говорила всю дорогу, объясняя ;1990 ;публицистика ,  нехудожественная ;мемуары ;книга ; И она без умолку говорила всю дорогу, объясняя Ваське сразу про все.  [Е. С. Гинзбург. Крутой маршрут: Часть 2 (1975-1977)] [омонимия не снята]
   Вика ; без умолку ; щебетал и в ракете ;1977 ;художественная ;роман ;книга ;  Вика без умолку щебетал и в ракете.  [Сергей Жемайтис. Большая лагуна (1977)] [омонимия не снята]
   Пуффи болтал ; без умолку ;, а я сидел на ;1977 ;художественная ;роман ;книга ;  Пуффи болтал без умолку, а я сидел на краю бассейна, слушал и думал, как там сейчас, в глубине, идет бой с отрядом белых акул.  [Сергей Жемайтис. Большая лагуна (1977)] [омонимия не снята]
 энергичный, всенародно любимый Владимир Владимирович ; без устали ;строит властную вертикаль, консолидирует ;2003 ;публицистика, нехудожественная ;статья ;журнал ;" В ней молодой, энергичный, всенародно любимый Владимир Владимирович без устали строит властную вертикаль, консолидирует общество, восстанавливает то, что было разрушено в годы ""лихолетья"".  [Александр Храмчихин. Комплекс полноценности // «Отечественные записки», 2003] [омонимия снята]"
 показом паузой активно пользовались фотокорреспонденты, ; без устали ;"""щелкая"" именитых гостей.  ";2002;публицистика, нехудожественная ;репортаж ;газета ;"  Возникшей перед показом паузой активно пользовались фотокорреспонденты, без устали ""щелкая"" именитых гостей.  [Эльвира Савкина. Max Мara вывела vip-леди Самары на подиум (2002) // «Дело» (Самара), 2002.05.26] [омонимия снята]"
 днями пилили на скрипочке или ; без устали ;вгрызались цепкими молочными зубами ;2002;публицистика, нехудожественная ;статья ;газета ;  Конечно, среди гениев были и те, что с пяти лет целыми днями пилили на скрипочке или без устали вгрызались цепкими молочными зубами в Евклидову геометрию.  [Наталья Склярова. Казаки-разбойники (2002) // «Вечерняя Москва», 2002.01.10] [омонимия снята]
 Москву с чернявой, золотозубой и ; без устали ;курившей женой, молодая соседка ;2000 ;художественная ;роман ;журнал ; Это случилось после того, как в небольшой коммунальной квартире на улице Обуха возле Курского вокзала, где старик жил после переезда в Москву с чернявой, золотозубой и без устали курившей женой, молодая соседка купила своей дочке собаку.  [Алексей Варламов. Купавна // «Новый Мир», 2000] [омонимия снята]
 же ему противился, что, когда ; без устали ;ходившая по исполкомовским комиссиям ;2000 ;художественная ;роман ;журнал ;" Мама умоляла папу сходить к своему начальству; пугая мальчика, от отчаяния рыдала и твердила, что делает всё ради детей, но папа отказывался и был настолько искренне ли деланно равнодушен к переезду или же ему противился, что, когда без устали ходившая по исполкомовским комиссиям, заседаниям и инстанциям учительница всё же добилась своего и получила ордер, даже не поехал смотреть с таким трудом выменянную квартиру и  первый раз увидел её вместе с Колюней, выпрыгнув из кузова большой крытой машины, что перевозила исцарапанную мебель, холодильник, черно-белый телевизор, цветы в горшках и сложенные в коробки пачки журналов ""Проблемы мира и социализма"""" Юность"" и ""Наука и жизнь"", а также тяжёлые послевоенные однотомные сочинения русских классиков, за безрассудную приверженность к которым Колюню впоследствии без устали долбили бесцеремонные и вздорные люди обоих полов,чем-то похожие  на брезгливых посетителей их первого дома.  [Алексей Варламов. Купавна // «Новый Мир», 2000] [омонимия снята]"
  Ожив, они ; без устали ;поглощают сахар и непрерывно ;2001 ;художественная ;роман ;журнал ; Ожив, они без устали поглощают сахар и непрерывно размножаются.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
 же точке мирового пространства, правда ; без устали ;крутя колёсами, чтобы подкатить ;2001 ;художественная ;роман ;журнал ;ветер  гонит по насту жёлтые и бурые листья, а, напротив, мертво покоится в одной и той же точке мирового пространства, правда без устали крутя колёсами, чтобы подкатить под себя землю.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
   Как маленькие девочки ; без устали ;переодевают кукол, так и ;2000 ;художественная ;роман ;журнал ;  Как маленькие девочки без устали переодевают кукол, так и Павел часами собирал и разбирал картонные модели человека и его отдельных органов.  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 области физиологии и эмбриологии и ; без устали ;поражался неутомимому и даже ;2000 ;художественная ;роман ;журнал ;  Павел Алексеевич внимательно следил за современными исследованиями в области физиологии и эмбриологии и без устали поражался неутомимому и даже несколько мелочному закону, определяющему жизнь будущего человека ещё в утробе матери, в соответствии с которым каждое улавливаемое событие происходило с великой точностью ? не до недель и дней, а до часов и минут…  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 носом в землю, копала, полола ; без устали ;устали.  ;2000 ;художественная ;роман ;журнал ;  Тома, несмотря на мизерность своего сложения, на самом деле тоже была из породы выносливых ? целыми днями возилась со своими зелёными детками, уткнувшись носом в землю, копала, полола без устали.  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
  Без конца, ; без устали ;все талдычат: Россия, Россия ;2000 ;публицистика, нехудожественная ;мемуары ;журнал ; Без конца, без устали все талдычат: Россия, Россия, величие, величие, свершения и постановления, решения и указания, деньги и благосостояние…  [Виктор Астафьев. Затеси (1999) // «Новый Мир», 2000] [омонимия снята]
 полбуханки хлеба.   А Ринат ; без устали ;искал.   Он приехал в ;2000 ;художественная ;повесть ;книга ;  Два раза в день ей давали кувшин воды и полбуханки хлеба.   А Ринат без устали искал.   Он приехал в больницу, первую попавшуюся медсестру взял за локоть, отвёл в сторонку и тихо спросил:  [Алексей Слаповский. Гибель гитариста (1994-1995)] [омонимия снята]
   А лягушонок бегал ; без устали ;устали, и голубой звон поднялся ;2000;художественная ;сказка, цикл ;книга ;  А лягушонок бегал без устали, и голубой звон поднялся уже так высоко, что его слушала вся земля.  [Сергей Козлов. Правда, мы будем всегда? (1969-1981)] [омонимия снята]
  Она ; без устали ;боролась за окружающую среду ;1980 ;художественная ;повесть ;книга ; Она без устали боролась за окружающую среду, которую постоянно кто-нибудь загрязнял.  [Анатолий Алексин. Раздел имущества (1979)] [омонимия снята]
 беззвучно падающие белые лезвия прожекторов, ; без устали ;разрубающие это утлое мироздание ;1986 ;художественная ;повесть ;книга ; Мы стояли на краю невидимой бездны и смотрели в небо, где всё переливчато дрожало и напрягалось в ожидании перемены судьбы: звёзды, облака, аэростаты, косо и беззвучно падающие белые лезвия прожекторов, без устали разрубающие это утлое мироздание.  [Юрий Трифонов. Дом на набережной (1976)] [омонимия снята]
 он может три часа танцевать ; без устали ;устали, прочитать за день целиком ;1978 ;художественная ;повесть ;книга ; Откуда мне знать, нужен ли парню отец, когда у парня рост метр восемьдесят, канадская стрижка, бас, когда он может три часа танцевать без устали, прочитать за день целиком английский детективный роман и подойти на улице к любой девушке и взять у неё телефон?  [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]
 меру своих сил, и годами ; без устали ;занимался одним ? писал, писал ;1978 ;художественная ;повесть ;книга ; Он не гангстер, не половой психопат, он хотел жить, любил женщину, по-своему, в меру своих сил, и годами без устали занимался одним ? писал, писал, писал, писал.  [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]
   Таня танцевала ; без устали ;устали, танцевала со всеми подряд ;1965 ;художественная ;роман ;книга ;  Таня танцевала без устали, танцевала со всеми подряд.  [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]
 его, люди, до устали и ; без устали ;устали.  ;1979 ;публицистика, нехудожественная ;очерк, цикл ;книга ;  Катайте его, люди, до устали и без устали.  [И. Ф. Анненский. Вторая книга отражений (1909)] [омонимия снята]
  Когда я работаю подолгу, ; без устали ;устали, тогда мысли полегче, и ;1974 ;художественная ;пьеса ;книга ; Когда я работаю подолгу, без устали, тогда мысли полегче, и кажется, будто мне тоже известно, для чего я существую.  [А. П. Чехов. Вишневый сад (1904)] [омонимия снята]
  Он ; без устали ;устали, самозабвенно искал приключений и ;2015 ;художественная ;рассказ, цикл ;книга ; Он без устали, самозабвенно искал приключений и, что самое интересное, находил.  [Дина Рубина. Медная шкатулка (сборник) (2015)] [омонимия не снята]
 треугольном фронтоне с обеих сторон ; без устали ;восходили и восходили к ;2015 ;художественная ;рассказ, цикл ;книга ; Он стоял в блеске и сини своих мозаик, и золотокрылые ангелы на треугольном фронтоне с обеих сторон без устали восходили и восходили к евангелисту Марку над золотокрылым львом.  [Дина Рубина. Медная шкатулка (сборник) (2015)] [омонимия не снята]
   Голливуд продолжает ; без устали ;раскрывать тему кровососущих гуманоидов ;2014 ;публицистика, нехудожественная ;заметка ;журнал ;  Голливуд продолжает без устали раскрывать тему кровососущих гуманоидов.  [Вячеслав Суриков. Культура // «Эксперт», 2014] [омонимия не снята]
 за город в зимнюю беспутицу, ; без устали ;помогал горожанам в наведении ;2013 ;публицистика ,  нехудожественная ;статья ;газета ; Для того, чтобы собрать необходимую фактуру, Илья ел дачный наваристый борщ, мотался за город в зимнюю беспутицу, без устали помогал горожанам в наведении садового марафета, в общем, на полтора года стал своим среди обитателей загородного массива, что раскинулся на девятом километре за Панковкой.  [Мария Клапатнюк. Во саду ли, в огороде… (2013.04.29) // «Новгородские ведомости», 2013] [омонимия не снята]
 праве называться «цивилизованным европейским городом», ; без устали ;проращивает из собственных семян ;2013 ;публицистика, нехудожественная ;очерк ;журнал ;  Кострома, вероятно, стремясь самоутвердиться в праве называться «цивилизованным европейским городом», без устали проращивает из собственных семян всевозможные аристократические «лилии» и порочные «цветы зла».  [Александр Зябликов. Провинциальная столица // «Сибирские огни», 2013] [омонимия не снята]
 то русские, в основном патриоты, ; без устали ;читали свои стихи ? надрывно ;2013 ;художественная ;рассказ ;журнал ; И если дрессированные утонченным, но строгим Гарольдом поэты-нацмены вели себя сдержанно, то русские, в основном патриоты, без устали читали свои стихи ? надрывно, со слезой.  [Сергей Каледин. Аллея Руж // «Огонек», 2013] [омонимия не снята]
 быстрый, другой ? невысокий, худой, работающий ; без устали ;устали.  ;2013 ;художественная ;роман ;журнал ; Один большой, тостоватый и с пузцом, но сильный и быстрый, другой ? невысокий, худой, работающий без устали.  [Виктор Ремизов. Воля вольная // «Новый мир», 2013] [омонимия не снята]
  А еще ; без устали ;любовался ее глазами, ставшими ;2012 ;художественная ;роман ;книга ; А еще без устали любовался ее глазами, ставшими с беременностью совсем другими.  [Евгений Водолазкин. Лавр (2012)] [омонимия не снята]
   и сердце телеграфирует ; без устали ;всем-всем-всем  ;2012 ;художественная ;роман ;книга ;  и сердце телеграфирует без устали всем-всем-всем  [Екатерина Завершнева. Высотка (2012)] [омонимия не снята]
 потрясающе-кипящий взрывами гудящий рокот… ; без устали ;устали, без минуты вздоха эта ;2013 ;публицистика, нехудожественная ;биография, записные книжки ;книга ; Отдавало ли эхо в горах, врывались ли новые батареи в общий страшный хор, только грохот и раскаты росли, сглаживали для уха представление о стрельбе орудий и отдельных батарей и сливались в какой-то потрясающе-кипящий взрывами гудящий рокот… Без устали, без минуты вздоха эта ужасная канонада ревела, стонала, злилась, скрежетала, сея разрушение, гибель и смерть… Две силы бросались глыбами чугуна, свинца и стали…  [А. Г. Колмогоров. Мне доставшееся: Семейные хроники Надежды Лухмановой (2012)] [омонимия не снята]
 устройством дома и продолжением рода ; без устали ;устали.  ;2012 ;публицистика ,  нехудожественная ;статья ;журнал ; Видна «родовая семья» с хозяйственными заботами, устройством дома и продолжением рода без устали.  [Александр Савинов. «Свидания в огороде и законы Петра I» // «Знание - сила», 2012] [омонимия не снята]
 обязаны своим освобождением тому, что ; без устали ;ублажали жен тех, кто ;2011 ;публицистика, нехудожественная ;статья ;журнал ; Многие пленные рыцари были обязаны своим освобождением тому, что без устали ублажали жен тех, кто их в плен взял.  [Артур Барсуков. Интим под забралом // «Криминальный отдел», 2011] [омонимия не снята]
  Он ; без устали ;устали, самозабвенно искал приключений и ;2012 ;художественная ;рассказ ;книга ; Он без устали, самозабвенно искал приключений и, что самое интересное, находил.  [Дина Рубина. Окна (2011)] [омонимия не снята]
 треугольном фронтоне с обеих сторон ; без устали ;восходили и восходили к ;2012 ;художественная ;рассказ ;книга ; Он стоял в блеске и сини своих мозаик, и золотокрылые ангелы на треугольном фронтоне с обеих сторон без устали восходили и восходили к Евангелисту Марку над золотокрылым львом.  [Дина Рубина. Окна (2011)] [омонимия не снята]
  [Нельсон Мандела, nick]   Прикольный фильм!   Ржал ; без устали ;устали…   Непонятно, чего всем так ; ;электронная коммуникация ,  нехудожественная ;форум ;электронный текст ; [Нельсон Мандела, nick]   Прикольный фильм!   Ржал без устали…   Непонятно, чего всем так не понравилось.  [коллективный. Форум: Обсуждение фильма «Самый лучший фильм-2» (2009-2011)] [омонимия не снята]
  Осенние волны ; без устали ;бились о скалы у ; ;публицистика, нехудожественная ;мемуары ;книга ; Осенние волны без устали бились о скалы у ног, ранние сумерки стали сгущаться над океаном, а я все сидел и перебирал листки.  [Иеромонах Макарий (Маркиш). Приключения и подвиги (2010)] [омонимия не снята]
 8 сентября местное еврейское население ; без устали ;славило императора и его ;2010 ;публицистика ,  нехудожественная ;статья ;журнал ; С этой целью во всех подробностях рассказывалось, как на протяжении 8 сентября местное еврейское население без устали славило императора и его семью, а в завершение торжества оркестр исполнил в синагоге «Боже, царя храни», после чего кантор синагоги с полным хором певчих прочёл молитву о здравии и долгоденствии императора и всего царственного дома.  [Алексей Буслаев. Как пили за здоровье тысячелетия // «Родина», 2010] [омонимия не снята]
  Я же ; без устали ;бороздил бровку и даже ;2010 ;бытовая ,  нехудожественная ;статья ;журнал ; Я же без устали бороздил бровку и даже отдал голевой пас.  [Александр Кобеляцкий. Когда пальмы были большими. Как играют в футбол в Африке // «Русский репортер», № 4 (132), 4-11 февраля 2010, 2010] [омонимия не снята]
 протекционизма в США и Европе, ; без устали ;критиковавший другие страны за ;2009 ;публицистика, нехудожественная ;статья ;журнал ; Министр торговли и промышленности этой страны Алан Джонсон, яростный критик протекционизма в США и Европе, без устали критиковавший другие страны за то, что их государственные деятели вмешиваются в чисто коммерческие вопросы и чинят препятствия иностранным компаниям в вопросах поглощения местных объектов собственности, вдруг поменял риторику.  [Вадим Бондарь. Мы покупаем, нас покупают. Как это часто не совпадает // «Однако», 2009] [омонимия не снята]
  Пока раззадоренные юноши ; без устали ;состязались в танцевальных прыжках ;2010 ;художественная ;повесть ;журнал ; Пока раззадоренные юноши без устали состязались в танцевальных прыжках и кульбитах, издавая громкое «Арс» и прочие молодецкие крики, худая женщина сосредоточенно ловила бумажные деньги, падавшие невесте на голову, под ноги и в складки платья.  [Гулла Хирачев (Алиса Ганиева). Салам тебе, Далгат! (2009) // «Октябрь», 2010] [омонимия не снята]
  Отец ; без устали ;выдумывал утешительные меры ? начиная ;2010 ;художественная ;роман ;книга ; Отец без устали выдумывал утешительные меры ? начиная от гена бессмертия до наручного прибора, вроде часов, который будет ежесекундно диагностировать состояние организма человека и время от времени выдавать советы: «Выпить таблетку № 317».  [Александр Иличевский. Перс (2009)] [омонимия не снята]
 восхода и до заката птицы ; без устали ;летают по окрестностям в ;2009 ;публицистика ,  нехудожественная ;статья ;журнал ; С восхода и до заката птицы без устали летают по окрестностям в поисках пищи.  [Ирина Королёва. Первый шаг во взрослую жизнь // «Наука и жизнь», 2009] [омонимия не снята]
 на старой пишущей машинке «Ремингтон» ; без устали ;печатает его новые произведения ;2009 ;публицистика ,  нехудожественная ;статья ;журнал ;  Маргарита Константиновна на старой пишущей машинке «Ремингтон» без устали печатает его новые произведения.  [Нелли Кравклис, Михаил Левитин. Три жизни писателя // «Наука и жизнь», 2009] [омонимия не снята]
